"filename", "language", "YAML", "JSON", "JavaScript", "TypeScript", "Markdown", "JSON with Comments", "TypeScript JSX", "PostCSS", "XML", "HTML", "MS SQL", "Prisma", "Docker", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\eslint.config.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\App.style.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 3, 3, 52
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\assets\theme\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\MagicCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 3, 5, 36
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\Prism.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 32, 14, 215
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\Wall.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 16, 7, 116
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\magicui\aurora-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 6, 44
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\magicui\bento-grid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 2, 8, 76
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\magicui\magic-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 12, 106
"c:\Users\user\Desktop\项目：简历到offer\resume-to-offer\packages\frontend\src\components\magicui\morphing-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 26, 137
