"filename", "language", "JSON", "JavaScript", "YAML", "XML", "TypeScript", "JSON with Comments", "Docker", "Markdown", "Prisma", "MS SQL", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\task-queue\task-queue.service.ts", "TypeScript", 0, 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 0, 0, 111, 54, 416
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\user\dto\login-user.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\user\dto\register-user.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\user\user.controller.ts", "TypeScript", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\user\user.module.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\user\user.service.ts", "TypeScript", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 123
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\utils\log.utils.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 59
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\utils\passwordEncrypt.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 29
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\utils\type.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 17
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\vector-store\vector-store.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\src\vector-store\vector-store.service.ts", "TypeScript", 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 46, 19, 185
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\tsconfig.build.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\backend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\.lintstagedrc.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\eslint.config.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\package.json", "JSON", 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 98
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\public\vite.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\src\App.style.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 2, 4, 68
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\src\assets\theme\index.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\src\components\Prism.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 32, 14, 215
"c:\Users\user\Desktop\项目：简历到offer\prisma-ai\packages\frontend\src\components\Wall.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 16, 7, 116
